key_mlbam,key_fangraphs,name
570240,13403,Félix Peña
680686,24580,Josiah Gray
605155,12997,Colten Brewer
500765,11543,Dayan Díaz
623454,15130,Drew Anderson
608331,13743,Max Fried
434538,3201,Francisco Liriano
607374,12385,Nick Tropeano
572143,12784,Burch Smith
594840,11449,Matt Grace
681885,24988,Evan Lee
669160,19716,Dustin May
641447,19805,Daniel Castano
446321,2859,Ross Detwiler
425386,2072,Jeremy Guthrie
664199,17611,Taylor Clarke
621086,19675,James Marvel
643290,19268,Justin Dunn
453307,4257,David Huff
663734,18699,Nick Neidert
663460,21455,Kris Bubic
605501,15859,Stephen Tarpley
663776,19447,Patrick Sandoval
641571,17466,Heath Fillmyer
621058,17553,Andrew Moore
605488,17677,Jeffrey Springs
622382,16348,Gabriel Moya
518489,5615,Ryan Brasier
615698,19312,Cal Quantrill
657031,17359,Josh Taylor
518715,7947,Cory Gearrin
675627,23221,Michael Grove
571561,12555,Tony Cingrani
571666,7754,Mike Fiers
608344,19244,Cole Irvin
642229,15179,Daniel Wright
666721,21956,Max Castillo
596035,19311,Reggie McClain
605498,18300,Andrew Suárez
605135,12304,Chris Bassitt
450203,4676,Charlie Morton
448306,7059,James Shields
572750,13453,Eddie Butler
608650,13932,Dietrich Enns
622663,15890,Luis Severino
607215,16155,Eric Skoglund
641656,19261,Ian Hamilton
657093,17489,Spenser Watkins
663554,20492,Casey Mize
572020,11828,James Paxton
676083,23301,Janson Junk
680692,24584,Jonathan Stiever
643414,15378,Kyle Lloyd
641672,19264,Thomas Hatch
519344,11716,Nick Tepesch
543339,7146,Daniel Hudson
425844,1943,Zack Greinke
217096,944,Barry Zito
605156,12272,Aaron Brooks
456068,7024,Miguel González
518445,10297,Chad Bell
622864,15885,Fernando Romero
446099,9059,John Axford
408241,1051,Jake Peavy
457448,5551,Matt Harrison
623167,13896,Chris Flexen
573244,8421,Adam Wilk
429717,1757,Dan Haren
502009,3815,Mat Latos
431148,4897,Scott Kazmir
608334,18311,Carson Fulmer
640455,15873,Sean Manaea
606965,12763,Chris Devenski
571577,10706,Scott Copeland
502083,2895,Zach McAllister
660623,20468,Huascar Ynoa
670970,20039,Adrián Morejón
571863,13420,Matt Koch
663531,18555,Logan Allen
682847,27646,Luis Ortiz
656427,17479,Jack Flaherty
642528,19753,Jonathan Loáisiga
663562,25862,Noah Davis
150359,512,A. J. Burnett
458681,2520,Lance Lynn
622065,18333,Alex Young
656954,17285,Justus Sheffield
641585,21212,J. P. France
676265,20277,Cory Abbott
435044,6176,Scott Baker
429780,2141,Chris Narveson
543606,6397,Jake Odorizzi
571735,9756,David Hale
593417,12790,Raúl Alcántara
663556,21483,Shane McClanahan
628317,18498,Kenta Maeda
450665,9417,Kris Medlen
641312,19453,Shaun Anderson
666129,21844,Braxton Garrett
605242,13218,Michael Fulmer
686651,25650,Levi Stoudt
489334,7274,Craig Stammen
669211,19362,Keegan Akin
518468,9654,Michael Blazek
516910,3547,Carlos Frías
668678,19291,Zac Gallen
462136,1118,Marco Estrada
641851,15071,Kyle McGowin
676974,27474,Max Meyer
663903,25377,Brady Singer
285079,1245,R. A. Dickey
661403,21032,Emmanuel Clase
518876,11156,Merrill Kelly
456167,11132,A. J. Griffin
571951,11479,Bryan Mitchell
605446,14509,Dereck Rodríguez
642397,19677,Gregory Soto
656605,17594,Mitch Keller
458690,9901,Chris Volstad
547943,14444,Hyun Jin Ryu
642231,15157,Jimmy Yacabonis
573185,9460,Dan Straily
656629,17282,Michael Kopech
